Posting Date,Order No.,Item,Quantity,Department,Time,"Direct 
Cost","Overhead 
Cost",Departement Code,Sales order
1/30/2023,POR-11040723,Sofa,15.75,Upholstery,235.00,5405.28,6814.72,PRODUCTION,SSO-12123384
1/30/2023,POR-11041006,Sofa,12.28,Upholstery,170.00,3910.20,4929.80,PRODUCTION,SSO-12123384
1/30/2023,POR-11041007,Sofa,2.47,Upholstery,35.00,805.04,1014.96,PRODUCTION,SSO-12123384
1/30/2023,POR-11041682,Rectangular Dining Table,1.00,Painting,95.00,2375.00,3515.00,PRODUCTION,SSO-12133564
1/30/2023,POR-11041805,TV unit,1.00,Painting,190.00,4750.00,7030.00,PRODUCTION,PROD-PAINTING-0002
1/30/2023,POR-11041806,Cladding ,12.70,Assembly,80.00,2000.00,2960.00,PRODUCTION,SSO-12133564
1/30/2023,POR-11041823,Cladding ,1.00,Painting,180.00,4500.00,6660.00,PRODUCTION,SSO-12133564
1/30/2023,POR-11041835,Mirror,1.00,Painting,45.00,1125.00,1665.00,PRODUCTION,SSO-12133564
1/30/2023,POR-11041842,Mirror,1.00,Painting,13.00,325.00,481.00,PRODUCTION,SSO-12133564
1/30/2023,POR-11041847,Cladding ,12.00,Assembly,45.00,1125.00,1665.00,PRODUCTION,SSO-12133564
1/30/2023,POR-11041874,Dining Arm chair,2.00,Upholstery,18.00,414.02,521.98,PRODUCTION,SSO-12141628
1/30/2023,POR-11041874,Dining Arm chair,2.00,Painting,7.17,100.00,148.00,PRODUCTION,SSO-12141628
1/30/2023,POR-11041890,Night stand,2.00,Assembly,30.00,750.00,1110.00,PRODUCTION,PROD-CARPENTRY-0004
1/30/2023,POR-11041890,Night stand,2.00,machine,8.50,248.02,295.98,PRODUCTION,PROD-CARPENTRY-0002
1/30/2023,POR-11042472,Arm chair,1.00,Upholstery,14.00,322.02,405.98,PRODUCTION,SSO-12141930
1/30/2023,POR-11042478,Dining Arm chair,12.00,Upholstery,120.00,2760.14,3479.86,PRODUCTION,SSO-12141930
1/30/2023,POR-11042496,Sofa,3.40,Upholstery,50.00,230.01,289.99,PRODUCTION,PROD-UPHOLSTERY-0001
1/30/2023,POR-11042496,Sofa,3.40,Painting,11.96,32.61,48.26,PRODUCTION,PROD-PAINTING-0004
1/30/2023,POR-11042497,Sofa,3.40,Upholstery,50.00,230.01,289.99,PRODUCTION,SSO-12142594
1/30/2023,POR-11042497,Sofa,3.40,Painting,11.96,32.61,48.26,PRODUCTION,SSO-12142594
1/30/2023,POR-11042498,Sofa,3.40,Upholstery,50.00,230.01,289.99,PRODUCTION,SSO-12142594
1/30/2023,POR-11042498,Sofa,3.40,Painting,11.96,32.61,48.26,PRODUCTION,SSO-12142594
1/30/2023,POR-11042500,Rectangular Center Table,1.00,Painting,50.00,1250.00,1850.00,PRODUCTION,SSO-12142594
1/30/2023,POR-11042501,Round side table,1.00,Control&Packing,60.00,0.00,0.00,PRODUCTION,SSO-12142594
1/30/2023,POR-11042527,Sofa,4.50,Upholstery,70.00,1610.08,2029.92,PRODUCTION,PROD-UPHOLSTERY-0002
1/30/2023,POR-11042528,Arm chair,2.00,Upholstery,28.00,644.03,811.97,PRODUCTION,SSO-12141205
1/30/2023,POR-11042537,Rectangular Dining Table,1.00,Painting,50.00,1250.00,1850.00,PRODUCTION,SSO-12141205
1/30/2023,POR-11042710,Sofa,3.00,Upholstery,25.00,575.03,724.97,PRODUCTION,PROD-UPHOLSTERY-0001
1/30/2023,POR-11042710,Sofa,3.00,Assembly,15.00,375.00,555.00,PRODUCTION,PROD-CARPENTRY-0004
1/30/2023,POR-11042711,Sofa,3.00,Upholstery,20.00,460.02,579.98,PRODUCTION,SSO-12144227
1/30/2023,POR-11042712,Sofa,3.00,Upholstery,20.00,460.02,579.98,PRODUCTION,SSO-12144227
1/30/2023,POR-11042713,Sofa,3.00,Upholstery,20.00,460.02,579.98,PRODUCTION,SSO-12144227
1/30/2023,POR-11042714,Sofa,4.80,Upholstery,25.00,575.03,724.97,PRODUCTION,SSO-12144227
1/30/2023,POR-11042726,Arm chair,5.00,Upholstery,70.00,1610.08,2029.92,PRODUCTION,SSO-12143613
1/30/2023,POR-11042727,Console,1.00,Painting,20.00,500.00,740.00,PRODUCTION,SSO-12143613
1/30/2023,POR-11042727,Console,1.00,Assembly,60.00,625.00,925.00,PRODUCTION,SSO-12143613
1/30/2023,POR-11042765,Sofa,4.80,Upholstery,45.00,1035.05,1304.95,PRODUCTION,SSO-12144251
1/30/2023,POR-11042817,Sofa,3.00,Upholstery,135.00,3105.16,3914.84,PRODUCTION,SOJ-12003236
1/30/2023,POR-11042839,Sofa,8.00,Upholstery,120.00,2760.14,3479.86,PRODUCTION,SSO-12142691
1/30/2023,POR-11042889,Arm chair,2.00,Upholstery,45.00,92.00,116.00,PRODUCTION,SSO-12149275
1/30/2023,POR-11042890,Rectangular Center Table,1.00,Painting,30.00,750.00,1110.00,PRODUCTION,SSO-12149275
1/30/2023,POR-11042890,Rectangular Center Table,1.00,Assembly,25.00,625.00,925.00,PRODUCTION,SSO-12149275
1/30/2023,POR-11042893,Round side table,3.00,Painting,50.00,1250.00,1850.00,PRODUCTION,SSO-12149275
1/30/2023,POR-11042896,Sofa,3.00,Painting,7.17,32.61,48.26,PRODUCTION,SSO-12146685
1/30/2023,POR-11042896,Sofa,3.00,Upholstery,100.00,2300.12,2899.88,PRODUCTION,SSO-12146685
1/30/2023,POR-11042897,Sofa,3.00,Upholstery,50.00,230.01,289.99,PRODUCTION,SSO-12146685
1/30/2023,POR-11042897,Sofa,3.00,Painting,7.17,32.61,48.26,PRODUCTION,SSO-12146685
1/30/2023,POR-11043104,Sofa,15.75,Upholstery,235.00,5405.28,6814.72,PRODUCTION,SSO-12123384
1/31/2023,POR-11039303,Arm chair,4.00,Upholstery,56.00,1288.07,1623.93,PRODUCTION,SSO-12118875
1/31/2023,POR-11039348,Sofa,4.36,Painting,10.00,250.00,370.00,PRODUCTION,PROD-PAINTING-0002
1/31/2023,POR-11039901,Arm chair,2.00,Painting,10.00,250.00,370.00,PRODUCTION,SSO-12119453
1/31/2023,POR-11040287,Bed,1.00,Upholstery,30.00,690.04,869.96,PRODUCTION,PROD-UPHOLSTERY-0001
1/31/2023,POR-11041752,Cladding ,12.50,machine,0.58,30.74,21.46,PRODUCTION,SSO-12122598
1/31/2023,POR-11041752,Cladding ,12.50,Veneer,6.00,150.00,222.00,PRODUCTION,SSO-12122598
1/31/2023,POR-11041752,Cladding ,12.50,Assembly,30.00,750.00,1110.00,PRODUCTION,SSO-12122598
1/31/2023,POR-11041789,Round side table,1.00,Painting,10.00,250.00,370.00,PRODUCTION,SSO-12136516
1/31/2023,POR-11041791,Arm chair,4.00,Painting,24.00,600.00,888.00,PRODUCTION,SSO-12136516
1/31/2023,POR-11041791,Arm chair,4.00,machine,0.50,30.00,18.50,PRODUCTION,SSO-12136516
1/31/2023,POR-11041791,Arm chair,4.00,Assembly,60.00,1500.00,2220.00,PRODUCTION,SSO-12136516
1/31/2023,POR-11041797,Sofa,3.00,machine,0.83,43.99,30.71,PRODUCTION,SSO-12136516
1/31/2023,POR-11041797,Sofa,3.00,Assembly,30.00,750.00,1110.00,PRODUCTION,SSO-12136516
1/31/2023,POR-11041798,Sofa,1.00,machine,0.58,30.74,21.46,PRODUCTION,SSO-12136516
1/31/2023,POR-11041798,Sofa,1.00,Assembly,25.00,625.00,925.00,PRODUCTION,SSO-12136516
1/31/2023,POR-11041802,Arm chair,5.00,Painting,30.00,750.00,1110.00,PRODUCTION,SSO-12136516
1/31/2023,POR-11041802,Arm chair,5.00,machine,1.16,34.80,21.46,PRODUCTION,SSO-12136516
1/31/2023,POR-11041802,Arm chair,5.00,Assembly,100.00,2500.00,3700.00,PRODUCTION,SSO-12136516
1/31/2023,POR-11041804,Round side table,4.00,machine,2.16,4.80,2.96,PRODUCTION,SSO-12136516
1/31/2023,POR-11041804,Round side table,4.00,Veneer,5.00,125.00,185.00,PRODUCTION,SSO-12136516
