Posting Date,Order No.,Work center Number,Department,Item,Time,Quantity,Sales order
8/14/2023,POR-11047813,600,Control & Packing,Cabinet,0,8.8,SSO-12150029
8/14/2023,POR-11046903,600,Control & Packing,Cabinet,0,2.8,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,5.6,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,7.9,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,9.4,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,2.6,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,4.9,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,3.5,MAN-CTLPAC-0001
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,4.8,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,3.5,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,8.3,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,5.5,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,7.6,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,3,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,2.8,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,3,SSO-12150029
8/14/2023,POR-11045766,600,Control & Packing,Cabinet,0,3,SSO-12150029
8/14/2023,POR-11036484,600,Control & Packing,Cabinet,0,5.7,SSO-12150029
8/14/2023,POR-11036484,600,Control & Packing,Cabinet,0,6.5,SSO-12150029
8/14/2023,POR-11036484,600,Control & Packing,Cabinet,0,3.2,SSO-12150029
8/14/2023,POR-11036484,600,Control & Packing,Cabinet,0,4.8,SSO-12150029
8/14/2023,POR-11036484,600,Control & Packing,Cabinet,0,1,SSO-12150029
8/14/2023,POR-11036484,600,Control & Packing,Cabinet,0,10.3,SSO-12150029
8/14/2023,POR-11036484,600,Control & Packing,Cabinet,0,2.8,SSO-12150029
8/14/2023,POR-11036484,600,Control & Packing,Cabinet,0,3,SSO-12150029
